Index,Symbol,Name
819,CHFLTL=X,CHF/LTL
820,CHFAUD=X,CHF/AUD
821,KESISK=X,KES/ISK
822,EUR-DZD.F,EUR-DZD.F
823,CLP=X,USD/CLP
824,CHFKZT=X,CHF/KZT
825,CADSTD=X,CAD/STD
826,CLFCLP=X,CLF/CLP
827,CADDKK=X,CAD/DKK
828,CADDZD=X,CAD/DZD
829,CHFLVL=X,CHF/LVL
830,MYRNOK=X,MYR/NOK
831,CHFMAD=X,CHF/MAD
832,EURAFN=X,EUR/AFN
833,EURMNT=X,EUR/MNT
834,CLPVEF=X,CLP/VEF
835,CZKCHF=X,CZK/CHF
836,CZKLVL=X,CZK/LVL
837,CADXAF=X,CAD/XAF
838,CHFIQD=X,CHF/IQD
839,CADGHS=X,CAD/GHS
840,CADEGP=X,CAD/EGP
841,CYP=X,CYP=X
842,CADIQD=X,CAD/IQD
843,CVEUSD=X,CVE/USD
844,CVEDKK=X,CVE/DKK
845,CHFSEK=X,CHF/SEK
846,CHFHNL=X,CHF/HNL
847,CHFAOA=X,CHF/AOA
848,CNYSGD=X,CNY/SGD
849,CNYINR=X,CNY/INR
850,SGDNOK=X,SGD/NOK
851,CADTMT=X,CAD/TMT
852,CHFMNT=X,CHF/MNT
853,HKDGBP=X,HKD/GBP
854,CZKRON=X,CZK/RON
855,CHFYER=X,CHF/YER
856,CHFLAK=X,CHF/LAK
857,CHFGYD=X,CHF/GYD
858,CHFMWK=X,CHF/MWK
859,CADMNT=X,CAD/MNT
860,CADHKD=X,CAD/HKD
861,EURSLL=X,EUR/SLL
862,CADCVE=X,CAD/CVE
863,CZKDKK=X,CZK/DKK
864,CADSCR=X,CAD/SCR
865,CHFSCR=X,CHF/SCR
866,CHFKMF=X,CHF/KMF
867,CHFSAR=X,CHF/SAR
868,CHFHTG=X,CHF/HTG
869,CHFGMD=X,CHF/GMD
870,CZKPKR=X,CZK/PKR
871,CADNAD=X,CAD/NAD
872,CNYRUB=X,CNY/RUB
873,CADCDF=X,CAD/CDF
874,CHFXDR=X,CHF/XDR
875,CLPUYU=X,CLP/UYU
876,CHFMYR=X,CHF/MYR
877,CLPBOB=X,CLP/BOB
878,CADLAK=X,CAD/LAK
879,CADHNL=X,CAD/HNL
880,CADBZD=X,CAD/BZD
881,CADINR=X,CAD/INR
882,EURGIP=X,EUR/GIP
883,CHFANG=X,CHF/ANG
884,CADKHR=X,CAD/KHR
885,SEKZAR=X,SEK/ZAR
886,CHFKWD=X,CHF/KWD
887,CADMXN=X,CAD/MXN
888,CHFSTD=X,CHF/STD
889,CHFSGD=X,CHF/SGD
890,CADSYP=X,CAD/SYP
891,CADXDR=X,CAD/XDR
892,CADGNF=X,CAD/GNF
893,CZKSAR=X,CZK/SAR
894,MYRSEK=X,MYR/SEK
895,CHFETB=X,CHF/ETB
896,EUR-SLL.F,EUR-SLL.F
897,CLPPEN=X,CLP/PEN
898,CADDJF=X,CAD/DJF
899,CHFCDF=X,CHF/CDF
900,CADBAM=X,CAD/BAM
901,CNYISK=X,CNY/ISK
902,CHFQAR=X,CHF/QAR
903,CADAED=X,CAD/AED
904,EURETB=X,EUR/ETB
905,CLFGBP=X,CLF/GBP
906,CHFAED=X,CHF/AED
907,CHFXCD=X,CHF/XCD
908,CADCOP=X,CAD/COP
909,CNHIDR=X,CNH/IDR
910,CHFTOP=X,CHF/TOP
911,CZKMUR=X,CZK/MUR
912,CHFTMT=X,CHF/TMT
913,CZKXDR=X,CZK/XDR
914,CNYCHF=X,CNY/CHF
915,NOKAUD=X,NOK/AUD
916,CHFLSL=X,CHF/LSL
917,CADPEN=X,CAD/PEN
918,CZKNGN=X,CZK/NGN
919,CHFBTN=X,CHF/BTN
920,CHFBBD=X,CHF/BBD
921,CNYPLN=X,CNY/PLN
922,CHFMXN=X,CHF/MXN
923,CADSDG=X,CAD/SDG
924,CHFXPF=X,CHF/XPF
925,KESINR=X,KES/INR
926,CZKMAD=X,CZK/MAD
927,CADRON=X,CAD/RON
928,CHFTZS=X,CHF/TZS
929,CADBBD=X,CAD/BBD
930,CNHTHB=X,CNH/THB
931,CHFDKK=X,CHF/DKK
932,CNYQAR=X,CNY/QAR
933,CADBYR=X,CAD/BYR
934,CZKEGP=X,CZK/EGP
935,CZKCNY=X,CZK/CNY
936,CHFINR=X,CHF/INR
937,SEKAUD=X,SEK/AUD
938,CHFGIP=X,CHF/GIP
939,CADGEL=X,CAD/GEL
